"id","name","code","executive","employee","worker"
occupation_type_employee_147002,"GERENTE, COMUNICACIONES",147002,True,True,False,
occupation_type_employee_147003,"GERENTE, TRANSPORTE",147003,True,True,False,
occupation_type_employee_145003,"CONCESIONARIO-ADM., REST. Y CAFETERIA (FAB. Y OFIC.)",145003,True,True,False,
occupation_type_employee_145004,"CONCESIONARIO-ADM., REST. Y BAR/CAFETERIA (TREN, BARCO, AVI",145004,True,True,False,
occupation_type_employee_211001,ASTROFISICO,211001,True,True,False,
occupation_type_employee_211002,ASTRONOMO,211002,True,True,False,
occupation_type_employee_211003,FISICO,211003,True,True,False,
occupation_type_employee_211004,"FISICO, ACUSTICA",211004,True,True,False,
occupation_type_employee_211005,"FISICO, ELECTRICIDAD Y MAGNETISMO",211005,True,True,False,
occupation_type_employee_211006,"FISICO, ELECTRONICA",211006,True,True,False,
occupation_type_employee_211007,"FISICO, ESTATICA",211007,True,True,False,
occupation_type_employee_211008,"FISICO, ENERGIA SOLAR (NO CONVENCIONAL)",211008,True,True,False,
occupation_type_employee_211009,"FISICO, ENERGIA NUCLEAR",211009,True,True,False,
occupation_type_employee_211010,"FISICO, FISICA NUCLEAR",211010,True,True,False,
occupation_type_employee_211011,"FISICO, FISICA TEORICA",211011,True,True,False,
occupation_type_employee_211012,"FISICO, MATEMATICO",211012,True,True,False,
occupation_type_employee_211013,"FISICO, MECANICA",211013,True,True,False,
occupation_type_employee_211014,"FISICO, OPTICA",211014,True,True,False,
occupation_type_employee_211015,"FISICO, SONIDO",211015,True,True,False,
occupation_type_employee_211016,"FISICO, TERMODINAMICA",211016,True,True,False,
occupation_type_employee_211017,"FISICO, OTRO",211017,True,True,False,
occupation_type_employee_212001,COSMOGRAFO,212001,True,True,False,
occupation_type_employee_212002,COSMOLOGO,212002,True,True,False,
occupation_type_employee_212003,CLIMATOLOGO,212003,True,True,False,
occupation_type_employee_212004,METEOROLOGO,212004,True,True,False,
occupation_type_employee_212005,"METEOROLOGO, CLIMATOLOGIA",212005,True,True,False,
occupation_type_employee_212006,"METEOROLOGO, PREVISION DEL TIEMPO",212006,True,True,False,
occupation_type_employee_213001,QUIMICO,213001,True,True,False,
occupation_type_employee_213002,QUIMICO ANALISTA,213002,True,True,False,
occupation_type_employee_213003,"QUIMICO, COLORANTES",213003,True,True,False,
occupation_type_employee_213004,"QUIMICO, CONTROL DE CALIDAD",213004,True,True,False,
occupation_type_employee_213005,"QUIMICO, CORROSION",213005,True,True,False,
occupation_type_employee_213006,"QUIMICO, CUEROS Y PIELES",213006,True,True,False,
occupation_type_employee_213007,"QUIMICO, DETERGENTES",213007,True,True,False,
occupation_type_employee_213008,"QUIMICO, ELECTROQUIMICA",213008,True,True,False,
occupation_type_employee_213009,"QUIMICO, FARMACIA",213009,True,True,False,
occupation_type_employee_213010,"QUIMICO, FARMACIA/ INDUSTRIA",213010,True,True,False,
occupation_type_employee_213011,"QUIMICO, FISICA/OTROS",213011,True,True,False,
occupation_type_employee_213012,"QUIMICO, INDUSTRIA DEL VIDRIO",213012,True,True,False,
occupation_type_employee_213013,"QUIMICO, INDUSTRIA METALURGICA",213013,True,True,False,
occupation_type_employee_213014,"QUIMICO, QUIMICA ANALITICA",213014,True,True,False,
occupation_type_employee_213015,"QUIMICO, QUIMICA INORGANICA",213015,True,True,False,
occupation_type_employee_213016,"QUIMICO, QUIMICA MINERAL",213016,True,True,False,
occupation_type_employee_213017,"QUIMICO, QUIMICA ORGANICA",213017,True,True,False,
occupation_type_employee_213018,"QUIMICO, TEXTILES",213018,True,True,False,
occupation_type_employee_213019,"QUIMICO, TINTURAS",213019,True,True,False,
occupation_type_employee_213020,"QUIMICO, OTROS (NO INCLUYE ING. QUIMICO)",213020,True,True,False,
occupation_type_employee_214001,ESTRATIGRAFISTA,214001,True,True,False,
occupation_type_employee_214002,GEODESIA,214002,True,True,False,
occupation_type_employee_214003,GEOFISICO (INCLUYE INGENIEROS),214003,True,True,False,
occupation_type_employee_214004,"GEOFISICO, GEOMORFOLOGIA",214004,True,True,False,
occupation_type_employee_214005,"GEOFISICO, HIDROLOGIA",214005,True,True,False,
occupation_type_employee_214006,"GEOFISICO, OCEANOGRAFIA",214006,True,True,False,
occupation_type_employee_214007,"GEOFISICO, SISMOLOGIA",214007,True,True,False,
occupation_type_employee_214008,"GEOFISICO, VULCANOLOGIA",214008,True,True,False,
occupation_type_employee_214009,GEOLOGO (INCLUYE INGENIEROS),214009,True,True,False,
occupation_type_employee_214010,"GEOLOGO, ESTRATIGRAFIA",214010,True,True,False,
occupation_type_employee_214011,"GEOLOGO, MINAS",214011,True,True,False,
occupation_type_employee_214012,"GEOLOGO, OCEANOGRAFIA",214012,True,True,False,
occupation_type_employee_214013,"GEOLOGO, PALEONTOLOGIA",214013,True,True,False,
occupation_type_employee_214014,"GEOLOGO, PETROLEO",214014,True,True,False,
occupation_type_employee_214015,GEOMORFOLOGO,214015,True,True,False,
occupation_type_employee_214016,HIDROLOGO,214016,True,True,False,
occupation_type_employee_214017,MICROPALEONTOLOGO,214017,True,True,False,
occupation_type_employee_214018,MINERALOGISTA,214018,True,True,False,
occupation_type_employee_214019,"OCEANOGRAFO, GEOFISICA",214019,True,True,False,
occupation_type_employee_214020,"OCEANOGRAFO, GEOLOGIA",214020,True,True,False,
occupation_type_employee_214021,PALEONTOLOGO,214021,True,True,False,
occupation_type_employee_214022,PETROLOGO,214022,True,True,False,
occupation_type_employee_214023,SISMOLOGO,214023,True,True,False,
occupation_type_employee_214024,VULCANOLOGO,214024,True,True,False,
occupation_type_employee_215001,ACTUARIO,215001,True,True,False,
occupation_type_employee_215002,"MATEMATICO, ANALISIS ACTUARIAL",215002,True,True,False,
occupation_type_employee_215003,"MATEMATICO, MATEMATICA APLICADA",215003,True,True,False,
occupation_type_employee_215004,"MATEMATICO, MATEMATICA PURA",215004,True,True,False,
occupation_type_employee_215005,"MATEMATICO-ANALISTA, INVESTIGACION OPERATIVA",215005,True,True,False,
occupation_type_employee_216001,BIOESTADISTICO,216001,True,True,False,
occupation_type_employee_216002,BIOMETRISTA,216002,True,True,False,
occupation_type_employee_216003,DEMOGRAFO,216003,True,True,False,
occupation_type_employee_216004,ESTADISTICO,216004,True,True,False,
occupation_type_employee_216005,"ESTADISTICO, AGRICULTURA",216005,True,True,False,
occupation_type_employee_216006,"ESTADISTICO, BIOESTADISTICA",216006,True,True,False,
occupation_type_employee_216007,"ESTADISTICO, BIOMETRIA",216007,True,True,False,
occupation_type_employee_216008,"ESTADISTICO, ECONOMIA",216008,True,True,False,
occupation_type_employee_216009,"ESTADISTICO, ENCUESTAS",216009,True,True,False,
occupation_type_employee_216010,"ESTADISTICO, ENCUESTAS POR SONDEO",216010,True,True,False,
occupation_type_employee_216011,"ESTADISTICO, ESTADISTICA APLICADA",216011,True,True,False,
occupation_type_employee_216012,"ESTADISTICO, FINANZAS",216012,True,True,False,
occupation_type_employee_216013,"ESTADISTICO, INVESTIGACION",216013,True,True,False,
occupation_type_employee_216014,"ESTADISTICO, MATEMATICO",216014,True,True,False,
occupation_type_employee_216015,"ESTADISTICO, MUESTRISTA",216015,True,True,False,
occupation_type_employee_216016,"INGENIERO, ESTADISTICO",216016,True,True,False,
occupation_type_employee_217001,"ADMINISTRADOR, BANCO DE DATOS",217001,True,True,False,
occupation_type_employee_217002,"ANALISTA, SISTEMAS INFORMATICOS",217002,True,True,False,
occupation_type_employee_217003,"ANALISTA, SISTEMAS INFORMATICOS/BANCO DE DATOS",217003,True,True,False,
occupation_type_employee_217004,"ANALISTA, SISTEMAS INFORMATICOS/COMPUTADORAS",217004,True,True,False,
occupation_type_employee_217005,"ANALISTA, SISTEMAS INFORMATICOS/TELECOMUNICACIONES",217005,True,True,False,
occupation_type_employee_217006,"ANALISTAS, TRANSMISIONES/SISTEMAS INFORMATICOS",217006,True,True,False,
occupation_type_employee_217007,"INGENIERO, SISTEMAS INFORMATICOS",217007,True,True,False,
occupation_type_employee_217008,"INGENIERO, APLICACIONES DE LA INFORMATICA",217008,True,True,False,
occupation_type_employee_218001,"ARQUITECTO, EDIFICIOS",218001,True,True,False,
occupation_type_employee_218002,"ARQUITECTO, INTERIORES DE EDIFICIOS",218002,True,True,False,
occupation_type_employee_218003,"INGENIERO, DE TRANSPORTE",218003,True,True,False,
occupation_type_employee_218004,"PLANIFICADOR, TRANSITO",218004,True,True,False,
occupation_type_employee_218005,URBANISTA,218005,True,True,False,
occupation_type_employee_219001,INGENIERO CIVIL,219001,True,True,False,
occupation_type_employee_219002,"INGENIERO CIVIL, CONSTRUCCION",219002,True,True,False,
occupation_type_employee_219003,"INGENIERO CIVIL, CONSTRUCCION Y OBRAS PUBLICAS",219003,True,True,False,
